Title,Year,Link,Abstract
,2013,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2013.00980/full,"Graphs and tables differentially support performance on specific tasks. For tasks requiring reading off single data points, tables are as good as or better than graphs, while for tasks involving relationships among data points, graphs often yield better performance. However, the degree to which graphs and tables support flexibility across a range of tasks is not well-understood. In two experiments, participants detected main and interaction effects in line graphs and tables of bivariate data. Graphs led to more efficient performance, but also lower flexibility, as indicated by a larger discrepancy in performance across tasks. In particular, detection of main effects of variables represented in the graph legend was facilitated relative to detection of main effects of variables represented in the x-axis. Graphs may be a preferable representational format when the desired task or analytical perspective is known in advance, but may also induce greater interpretive bias than tables, necessitating greater care in their use and design."
,2013,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2013.01004/full,"“Agreement” is a grammatical relation between words; e.g., the verbal suffix –s reflects agreement with a singular subject . Previous studies with time intervals under . s between disagreeing words have found a left-lateralized negative brain potential, arguably reflecting detection of the morphosyntactic violation. We tested the neurophysiological effects of number agreement between the first and last word in sentences at temporal distances between . and . s. Distances were varied by visually presenting sentences word by word at different rates. For distances under . s, a left-lateralized negativity was observed. At a .-s interval, an anterior, slightly right-lateralized negativity was found. At an intermediate distance of . s, the difference between disagreement and agreement at left electrodes correlated with participants' working memory span. Results indicate that different brain processes occur when agreement involves agreement domains approaching and exceeding s than when the agreement dependency involves shorter temporal intervals."
,2013,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2013.00936/full,"Physiological evidence was sought for a center-surround attentional mechanism , which has been proposed to assist in the retrieval of weakly activated items from semantic memory. The CSM operates by facilitating strongly related items in the “center” of the weakly activated area of semantic memory, and inhibiting less strongly related items in its “surround”. In this study weak activation was created by having subjects acquire the meanings of new words to a recall criterion of only %. Subjects who attained this approximate criterion level of performance were subsequently included in a semantic priming task, during which ERPs were recorded. Primes were newly learned rare words, and targets were either synonyms, non-synonymously related words, or unrelated words. All stimuli were presented to the RVF/LH or the LVF/RH . Under RVF/LH stimulation the newly learned word primes produced facilitation on N for synonym targets, and inhibition for related targets. No differences were observed under LVF/RH stimulation. The LH thus, supports a CSM, whereby a synonym in the “center” of attention, focused on the newly learned word, is facilitated, whereas a related word in the “surround” is inhibited. The data are consistent with the view of this laboratory that semantic memory is subserved by a spreading activation system in the LH. Also consistent with our view, there was no evidence of spreading activation in the RH. The findings are discussed in the context of additional recent theories of semantic memory. Finally, the adult right hemisphere may require more learning than the LH in order to demonstrate evidence of meaning acquisition."
,2013,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2013.01002/full,"Recent findings [Dilley and Pitt, . Psych. Science. , –] have shown that manipulating context speech rate in English can cause entire syllables to disappear or appear perceptually. The current studies tested two rate-based explanations of this phenomenon while attempting to replicate and extend these findings to another language, Russian. In Experiment , native Russian speakers listened to Russian sentences which had been subjected to rate manipulations and performed a lexical report task. Experiment investigated speech rate effects in cross-language speech perception; non-native speakers of Russian of both high and low proficiency were tested on the same Russian sentences as in Experiment . They decided between two lexical interpretations of a critical portion of the sentence, where one choice contained more phonological material than the other . In both experiments, with native and non-native speakers of Russian, context speech rate and the relative duration of the critical sentence portion were found to influence the amount of phonological material perceived. The results support the generalized rate normalization hypothesis, according to which the content perceived in a spectrally ambiguous stretch of speech depends on the duration of that content relative to the surrounding speech, while showing that the findings of Dilley and Pitt extend to a variety of morphosyntactic contexts and a new language, Russian. Findings indicate that relative timing cues across an utterance can be critical to accurate lexical perception by both native and non-native speakers."
,2013,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2013.00998/full,"This study examines listener judgments of musical tension for a recording of a Schubert song and its harmonic reduction. Continuous tension ratings collected in an experiment and quantitative descriptions of the piece's musical features, include dynamics, pitch height, harmony, onset frequency, and tempo, were analyzed from two different angles. In the first part of the analysis, the different processing timescales for disparate features contributing to tension were explored through the optimization of a predictive tension model. The results revealed the optimal time windows for harmony were considerably longer than for any other feature . In the second part of the analysis, tension ratings for the individual verses of the song and its harmonic reduction were examined and compared. The results showed that although the average tension ratings between verses were very similar, differences in how and when participants reported tension changes highlighted performance decisions made in the interpretation of the score, ambiguity in tension implications of the music, and the potential importance of contrast between verses and phrases. Analysis of the tension ratings for the harmonic reduction also provided a new perspective for better understanding how complex musical features inform listener tension judgments."
,2013,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2013.00978/full,"According to some synesthetes’ reports, their experience involves an emotional sensation in which a conflict between the photism and presented color of a stimulus may evoke a feeling of discomfort. In order to investigate the impact of this experience on performance, two experiments were carried out on two synesthetes and their matched control groups. Experiments were tailored for each synesthete according to her unique photism. Participants were presented with stimuli in colors and were asked to name the color of the stimulus and to ignore its meaning. Incongruent colors were associated with negative or positive emotional words or with non-emotional words. Not surprisingly, an incongruent color slowed down color naming. Conflict situations created a negative emotional experience. Most importantly, coherence between a conflict or non-conflict emotional experience and the emotion elicited by the color of the stimulus for a given synesthete modulated performance. In particular, synesthetes were faster in coherent than in incoherent situations. This research contributes to the understanding of emotional experience in synesthesia, and also suggests that synesthesia can be used as an instrument to investigate emotional processes in the wider population."
,2013,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2013.00982/full,"The vast majority of published work in the field of associative learning seeks to test the adequacy of various theoretical accounts of the learning process using average data. Of course, averaging hides important information, but individual departures from the average are usually designated “error” and largely ignored. However, from the perspective of an individual differences approach, this error is the data of interest; and when associative models are applied to individual learning curves the error is substantial. To some extent individual differences can be reasonably understood in terms of parametric variations of the underlying model. Unfortunately, in many cases, the data cannot be accomodated in this way and the applicability of the underlying model can be called into question. Indeed several authors have proposed alternatives to associative models because of the poor fits between data and associative model. In the current paper a novel associative approach to the analysis of individual learning curves is presented. The Memory Environment Cue Array Model is described and applied to two human predictive learning datasets. The MECAM is predicated on the assumption that participants do not parse the trial sequences to which they are exposed into independent episodes as is often assumed when learning curves are modeled. Instead, the MECAM assumes that learning and responding on a trial may also be influenced by the events of the previous trial. Incorporating non-local information the MECAM produced better approximations to individual learning curves than did the Rescorla–Wagner Model suggesting that further exploration of the approach is warranted."
,2013,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2013.00969/full,"Affective attention involves bottom-up perceptual selection that prioritizes motivationally significant stimuli. To clarify the extent to which this process is automatic, we investigated the dependence of affective attention on the intention to process emotional meaning. Affective attention was manipulated by presenting affective images with variable arousal and intentionality by requiring participants to make affective and non-affective evaluations. Polytomous rather than binary decisions were required from the participants in order to elicit relatively deep emotional processing. The temporal dynamics of prioritized processing were assessed using early posterior negativity as well as P-like and slow wave portions of the late positive potential. All analyzed components were differentially sensitive to stimulus categories suggesting that they indeed reflect distinct stages of motivational significance encoding. The intention to perceive emotional meaning had no effect on EPN, an additive effect on P, and an interactive effect on SW. We concluded that affective attention went from completely unintentional during the EPN to partially unintentional during P and SW where top-down signals, respectively, complemented and modulated bottom-up differences in stimulus prioritization. The findings were interpreted in light of two-stage models of visual perception by associating the EPN with large-capacity initial relevance detection and the P as well as SW with capacity-limited consolidation and elaboration of affective stimuli."
,2013,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2013.00985/full,"We explored the influence of implicit motives and activity inhibition on subjectively experienced affect in response to the presentation of six different facial expressions of emotion and neutral faces from the NimStim set of facial expressions . Implicit motives and AI were assessed using a Picture Story Exercise . Ratings of subjectively experienced affect were assessed using Self-Assessment Manikins in a sample of participants. We found that people with either a strong implicit power or achievement motive experienced stronger arousal, while people with a strong affiliation motive experienced less arousal and less pleasurable affect across emotions. Additionally, we obtained significant power motive × AI interactions for arousal ratings in response to FEEs and neutral faces. Participants with a strong power motive and weak AI experienced stronger arousal after the presentation of neutral faces but no additional increase in arousal after the presentation of FEEs. Participants with a strong power motive and strong AI did not feel aroused by neutral faces. However, their arousal increased in response to all FEEs with the exception of happy faces, for which their subjective arousal decreased. These differentiated reaction patterns of individuals with an inhibited power motive suggest that they engage in a more socially adaptive manner of responding to different FEEs. Our findings extend established links between implicit motives and affective processes found at the procedural level to declarative reactions to FEEs. Implications are discussed with respect to dual-process models of motivation and research in motive congruence."
,2013,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2013.00988/full,"The Aussie Optimism: Positive Thinking Skills Program is a school-based prevention program aimed at addressing anxious and depressive symptoms in children aged – years. Nine-hundred and ten students from Australian primary schools situated in low socio-economic areas were randomly assigned to either an intervention or control group, and assessed at a -month follow up. Those in the intervention group received the AOPTP program, where the control group continued to receive the regular health education course. Students completed self-report measures regarding their levels of depression, anxiety, and attribution style. Parents also reported on their children's externalizing and internalizing problems outside of school. There were no significant differences between groups in regard to anxiety or depression, as well as no significant differences in attributional styles. Parents reported significantly less hyperactive behaviors from children in the intervention group. This finding suggests that AOP-PTS has the capacity to treat externalizing problems at a medium term effect. The decrease in the externalizing problems provides evidence of a partial medium term intervention effect. Future studies should continue to evaluate the program at a long term follow up."
,2013,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2013.00961/full,"Rest related negative affect has gained scientific interest in the past decade. However, it is mostly studied within the context of mind-wandering , and the relevance of other psychological and neural aspects of the resting state to its’ occurrence has never been studied. Several indications associate RRNA with internally directed attention, yet the nature of this relation remains largely unknown. Moreover, the role of neural networks associated with rest related phenomenology – the default mode , executive , and salience networks, has not been studied in this context. To this end, we explored two and -minute resting-state simultaneous fMRI-EEG scans of participants. As vigilance has been shown to affect attention, and thus its availability for inward allocation, EEG-based vigilance levels were computed for each participant. Questionnaires for affective assessment were administered before and after scans, and retrospective reports of MW were additionally collected. Results revealed increased negative affect following rest, but only among participants who retained high vigilance levels. Among low-vigilance participants, changes in negative affect were negligible, despite reports of MW occurrence in both groups. In addition, in the high-vigilance group only, a significant increase in functional connectivity levels was found between the DMN-related ventral anterior cingulate cortex , associated with emotional processing, and the EXE-related dorsal ACC, associated with monitoring of self and other’s behavior. These heightened FC levels further correlated with reported negative affect among this group. Taken together, these results demonstrate that, rather than an unavoidable outcome of the resting state, RRNA depends on internal allocation of attention at rest. Results are discussed in terms of two rest-related possible scenarios which defer in mental and neural processing, and subsequently, in the occurrence of RRNA."
,2013,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2013.00964/full,"Previous research has shown that damage to the neural substrates of orthographic processing can lead to functional reorganization during reading ; in this research we ask if the same is true for spelling. To examine the functional reorganization of spelling networks we present a novel three-stage Individual Peak Probability Comparison analysis approach for comparing the activation patterns obtained during fMRI of spelling in a single brain-damaged individual with dysgraphia to those obtained in a set of non-impaired control participants. The first analysis stage characterizes the convergence in activations across non-impaired control participants by applying a technique typically used for characterizing activations across studies: Activation Likelihood Estimate . This method was used to identify locations that have a high likelihood of yielding activation peaks in the non-impaired participants. The second stage provides a characterization of the degree to which the brain-damaged individual's activations correspond to the group pattern identified in Stage . This involves performing a Mahalanobis distance statistics analysis that compares each of a control group's peak activation locations to the nearest peak generated by the brain-damaged individual. The third stage evaluates the extent to which the brain-damaged individual's peaks are atypical relative to the range of individual variation among the control participants. This IPPC analysis allows for a quantifiable, statistically sound method for comparing an individual's activation pattern to the patterns observed in a control group and, thus, provides a valuable tool for identifying functional reorganization in a brain-damaged individual with impaired spelling. Furthermore, this approach can be applied more generally to compare any individual's activation pattern with that of a set of other individuals."
,2013,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2013.00989/full,"We use the Google Ngram database, a corpus of ,, digitized books containing ~% of all books ever published, to test three ideas that are hypothesized to account for linguistic generalizations: verbal semantics, pre-emption and skew. Using , tokens of un-forms as a test case for these mechanisms, we found verbal semantics was a good predictor of the frequency of un-forms in the English language over the past years—both in terms of how the frequency changed over time and their frequency rank. We did not find strong evidence for the direct competition of un-forms and their top pre-emptors, however the skew of the un-construction competitors was inversely correlated with the acceptability of the un-form. We suggest a cognitive explanation for this, namely, that the more the set of relevant pre-emptors is skewed then the more easily it is retrieved from memory. This suggests that it is not just the frequency of pre-emptive forms that must be taken into account when trying to explain usage patterns but their skew as well."
