Title,Year,Link,Authors,Abstract
,2014,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2014.01484/full,Olli Rissanen; Petteri Pitkänen; Antti Juvonen; Gustav Kuhn; Kai Hakkarainen,"The purpose of the present investigation was to analyse interviews of highly regarded Finnish magicians. Social network analysis was used to identify Finland's most highly regarded magicians . The selected participants' careers in professional magic and various aspects of their professional conduct were examined by relying on semi-structured interviews. The results revealed that cultivation of professional level competence in magic usually requires an extensive period of time compared with other domains of expertise. Magic is a unique performing art and it differs from other professions focusing on deceiving the audience. A distinctive feature of magical expertise is that the process takes place entirely through informal training supported by communities of magical practitioners. Three interrelated aspects of magical activity were distinguished: magic tricks, performance, and audience. Although magic tricks constitute a central aspect of magic activity, the participants did not talk about their tricks extensively; this is in accordance with the secretive nature of magic culture. The interviews revealed that a core aspect of the magicians' activity is performance in front of an audience that repeatedly validates competence cultivated through years of practice. The interviewees reported investing a great deal of effort in planning, orchestrating, and reflecting on their performances. Close interaction with the audience plays an important role in most interviewees' activity. Many participants put a great deal of effort in developing novel magic tricks. It is common to borrow magic effects from fellow magicians and develop novel methods of implementation. Because magic tricks or programs are not copyrighted, many interviewees considered “stealing” an unacceptable and unethical aspect of magical activity. The interviewees highlighted the importance of personality and charisma in the successful pursuit of magic activity."
,2014,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2014.01434/full,"Daniel R. Coates; Susana T. L. Chung,","Several recent studies have shown that perceptual learning can result in improvements in reading speed for people with macular disease . The improvements were reported as an increase in reading speed defined by specific criteria; however, little is known about how other properties of the reading performance or the participants' perceptual responses change as a consequence of learning. In this paper, we performed detailed analyses of data following perceptual learning using an RSVP reading task, looking beyond the change in reading speed defined by the threshold at a given accuracy on a psychometric function relating response accuracy with word exposure duration. Specifically, we explored the statistical characteristics of the response data to address two specific questions: was there a change in the slope of the psychometric function and did the improvements in performance occur consistently across different word exposure durations? Our results show that there is a general steepening of the slope of the psychometric function, leading to non-uniform improvements across stimulus levels."
,2014,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2014.01430/full,"Alva Tang; Elliott A. Beaton; Jay Schulkin; Geoffrey B. Hall,; Louis A. Schmidt,","Shyness and sociability are two fundamental personality dimensions that are conceptually and empirically orthogonal and are conserved across cultures, development, and phylogeny. However, we know relatively little regarding how shyness and sociability are represented and maintained in the brain. Here we examined neural responses to the processing of different types of social threat using event-related fMRI, the salivary cortisol awakening response , and sociability in young adults selected for high and low shyness. Shy adults who exhibited a relatively higher CAR displayed neural activity in putative brain regions involved in emotional conflict and awareness, and were more sociable. In contrast, shy adults who displayed a relatively lower CAR exhibited neural activity in putative brain regions linked to fear and withdrawal, and were unsociable. Results revealed no systematic brain responses to social threat processing that correlated with the CAR in non-shy adults. These preliminary results suggest that individual differences in waking morning cortisol levels may influence neural processes that facilitate either social approach or withdrawal among people who are shy. Findings are discussed in relation to their theoretical and clinical implications for moving beyond longstanding descriptive to explanatory models of shyness and sociability and for understanding individual differences in social behavior in general."
,2014,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2014.01496/full,Paul Muentener; Laura Schulz,"Previous research suggests that children infer the presence of unobserved causes when objects appear to move spontaneously. Are such inferences limited to motion events or do children assume that unexplained physical events have causes more generally? Here we introduce an apparently spontaneous event and ask whether, even in the absence of spatiotemporal and co-variation cues linking the events, toddlers treat a plausible variable as a cause of the event. Toddlers saw a toy that appeared to light up either spontaneously or after an experimenter’s action. Toddlers were also introduced to a button but were not shown any predictive relation between the button and the light. Across three different dependent measures of exploration, predictive looking , prompted intervention , and spontaneous exploration , toddlers were more likely to represent the button as a cause of the light when the event appeared to occur spontaneously. In Study , we found that even in the absence of a plausible candidate cause, toddlers engaged in selective exploration when the light appeared to activate spontaneously. These results suggest that toddlers’ exploration is guided by the causal explanatory power of events."
,2014,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2014.01509/full,"Mark Nielsen,; Julia Gigante; Emma Collier-Baker","The propensity of humans to engage in prosocial behavior is unlike that of any other species. Individuals will help others even when it comes at a cost to themselves, and even when the others are complete strangers. However, to date, scant empirical evidence has been forthcoming on young children’s altruistic tendencies. To investigate this -year-olds were presented with a task in which they had opportunity to help an adult confederate retrieve a reward from a novel box. In a control condition children were given no information about the effect of potential helping behavior. Alternatively they were informed that helping would either cost them or benefit them . It was hypothesized that children would be less likely, and slower, to help in the cost condition, compared to the other two conditions. This hypothesis was not supported: children across all conditions provided help at near ceiling levels."
,2014,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2014.01291/full,"Givago S. Souza,; Felecia L. Malone; Teera L. Crawford; Letícia Miquilini; Raílson C. Salomão; Diego L. Guimarães; Dora F. Ventura; Malinda E. C. Fitzgerald,; Luiz Carlos L. Silveira,","In pseudoisochromatic stimuli the presence of spatial and luminance noise forces the subject to discriminate the target from the background solely on the basis of chromaticity difference. Color-blind subjects may show difficulty to identify the target due to the elimination of borders and brightness clues caused by the luminance and spatial noise. Few studies have fully described the features of pseudoisochromatic stimuli. Fewer investigators have focused their studies in the effects of specific pseudoisochromatic parameters on color discrimination. We used the Cambridge Color Test to investigate the influence on color discrimination thresholds due to the number of luminance levels present in the luminance noise. The CCT default has six luminance steps; however, in our investigation a total of eight different conditions were tested from to luminance steps. It was found that the CCT provided very robust values for color discrimination thresholds, which were degraded only for very small number of luminance steps. When the number of steps was increased, the color discrimination thresholds improved from to luminance steps and gradually reached a plateau for or more luminance steps. The area of color discrimination ellipses as a function of luminance steps matches the relative proportion of ineffective contrasts between mosaic patches as a function of luminance steps, assuming that contrast becomes ineffective for values .% or less. The lower number of color and luminance interactions in these conditions could explain the measured increase of color discrimination thresholds. The primary conclusion from this investigation was that results from pseudoisochromatic tests should have their parameters described in more detail. This type of description would allow a better understanding of the results provided, interpretations, and therefore cross study comparison of results obtained from different laboratories."
,2014,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2014.01482/full,"Thenille Braun Janzen,; William Forde Thompson; Paolo Ammirante; Ronald Ranvaud","Introduction: Movement-based expertise relies on precise timing of movements and the capacity to predict the timing of events. Music performance involves discrete rhythmic actions that adhere to regular cycles of timed events, whereas many sports involve continuous movements that are not timed in a cyclical manner. It has been proposed that the precision of discrete movements relies on event timing , whereas continuous movements are controlled by emergent timing. We examined whether movement-based expertise influences the timing mode adopted to maintain precise rhythmic actions.Materials and Method: Timing precision was evaluated in musicians, athletes and control participants. Discrete and continuous movements were assessed using finger-tapping and circle-drawing tasks, respectively, based on the synchronization-continuation paradigm. In Experiment , no auditory feedback was provided in the continuation phase of the trials, whereas in Experiment every action triggered a feedback tone.Results: Analysis of precision in the continuation phase indicated that athletes performed significantly better than musicians and controls in the circle-drawing task, whereas musicians were more precise than controls in the finger tapping task. Interestingly, musicians were also more precise than controls in the circle-drawing task. Results also showed that the timing mode adopted was dependent on expertise and the presence of auditory feedback.Discussion: Results showed that movement-based expertise is associated with enhanced timing, but these effects depend on the nature of the training. Expertise was found to influence the timing strategy adopted to maintain precise rhythmic movements, suggesting that event and emergent timing mechanisms are not strictly tied to specific tasks, but can both be adopted to achieve precise timing."
,2014,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2014.01514/full,Rita de Cassia S. Alves; Liana C. L. Portugal; Orlando Fernandes Jr; Izabela Mocaiber; Gabriela G. L. Souza; Isabel de Paula A. David; Eliane Volchan; Leticia de Oliveira; Mirtes G. Pereira,"Tonic immobility is an involuntary, last-ditch defensive reaction characterized by physical inactivity in a context of inescapable threat that has been described in many species, including humans. The occurrence of this defensive response is a predictor of the severity of psychiatric disorders and may be considered as an index of an intense reaction to a traumatic event. Here, we investigated whether the retrospective reports of peritraumatic tonic immobility reaction in participants exposed to a traumatic event would modify their cardiac responses to pictures related to their trauma. Using a questionnaire of life-threating events, we selected students who experienced violent crime as their most intense trauma and students who had never experienced a violent crime trauma, but experienced other traumatic events. All participants completed a questionnaire that estimated the intensity of tonic immobility during their most intense trauma. Electrocardiographic recordings were collected during exposure to pictures. Participants viewed emotional pictures and neutral pictures. These emotional stimuli were selected to be trauma-relevant to the violent crime group and non trauma-relevant to the no violent crime trauma group. Violent crime group showed a positive correlation between heart rate changes after viewing trauma-related pictures and tonic immobility scores. We observed that low tonic immobility scores were associated with bradycardia and high scores with tachycardia in response to trauma-relevant pictures. For the no violent crime group, no significant correlation was detected. These results suggest that the relevance of the stimuli and the magnitude of the defensive response during a previous trauma event were important factors triggering more intense defensive responses."
,2014,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2014.01475/full,"Florian Schmiedek,; Martin Lövdén,; Ulman Lindenberger","Based on a meta-analysis, Redick and Lindsey found that complex span and n-back tasks show an average correlation of r = ., and concluded that “complex span and n-back tasks cannot be used interchangeably as working memory measures in research applications” . Here, we comment on this conclusion from a psychometric perspective. In addition to construct variance, performance on a test contains measurement error, task-specific variance, and paradigm-specific variance. Hence, low correlations among dissimilar indicators do not provide strong evidence for the existence, or absence, of a construct common to both indicators. One way to arrive at such evidence is to fit hierarchical latent factors that model task-specific, paradigm-specific, and construct variance. We report analyses for younger and older adults who worked on nine different working memory tasks. The data are consistent with a hierarchical model of working memory, according to which both complex span and n-back tasks are valid indicators of working memory. The working memory factor predicts % of the variance in a factor of reasoning among younger adults . When the working memory factor was restricted to any possible triplet of working memory tasks, the correlation between working memory and reasoning was inversely related to the average magnitude of the correlations among the indicators, indicating that more highly intercorrelated indicators may provide poorer coverage of the construct space. We stress the need to go beyond specific tasks and paradigms when studying higher-order cognitive constructs, such as working memory."
,2014,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2014.01477/full,Daniela M. Pfabigan; Elisabeth Lamplmayr-Kragl; Nina M. Pintzinger; Uta Sailer; Ulrich S. Tran,"Attentional processes play an important role in the processing of emotional information. Previous research reported attentional biases during stimulus processing in anxiety and depression. However, sex differences in the processing of emotional stimuli and higher prevalence rates of anxiety disorders among women, compared to men, suggest that attentional biases may also differ between the two sexes. The present study used a modified version of the dot probe task with happy, angry, and neutral facial stimuli to investigate the time course of attentional biases in healthy volunteers. Moreover, associations of attentional biases with alexithymia were examined on the behavioral and physiological level. Event-related potentials were measured while participants performed the task, utilizing also for the first time a difference wave approach in the analysis to highlight emotion-specific aspects. Women showed overall enhanced probe P amplitudes compared to men, in particular after rewarding facial stimuli. Using the difference wave approach, probe P amplitudes appeared specifically enhanced with regard to congruently presented happy facial stimuli among women, compared to men. Both methods yielded enhanced probe P amplitudes after presentation of the emotional stimulus in the left compared to the right visual hemifield. Probe P amplitudes correlated negatively with self-reported alexithymia, most of these correlations were only observable in women. Our results suggest that women orient their attention to a greater extent to facial stimuli than men and corroborate that alexithymia is a correlate of reduced emotional reactivity on a neuronal level. We recommend using a difference wave approach when addressing attentional processes of orientation and disengagement also in future studies."
