Title,Published Date,Type,Link,Authors,Abstract
The inhibitory impact of collaboration on the continued influence effect of misinformation,25 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1487146/full,"Gongxiang Chen, Yuxuan Zhong, Sujie Li","The continued influence effect (CIE) of misinformation refers to the persistence of misinformation’s impact on memory and inference even when individuals are aware of a retraction. This study examined whether collaborative processes affect the CIE and investigated the underlying mechanisms through three experiments. Experiment 1 explored the general impact of collaboration on the CIE. Experiment 2 further dissected collaboration into turn-taking and free collaboration conditions, assessing their effects on the CIE at various recall intervals. Building on these findings, Experiment 3 delved into the mechanisms driving the differential effects of turn-taking and free collaboration on misinformation correction. Results revealed that turn-taking collaboration consistently mitigates the CIE, while the effect of free collaboration on misinformation correction is moderated by recall time. This variation is attributed to differences in re-exposure, cross-cuing, and forgetting across collaboration types. The present study contributes empirical support to the Knowledge Revision Theory of the CIE."
RECALL prompting hierarchy improves responsiveness for autistic children and children with language delay: a single-case design study,25 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1435688/full,"Rebekah Bosley, Susan J. Loveall, Karen Kate Kellum, Kara Hawthorne,","The purpose of the current study was to expand upon previous research on RECALL, a dialogic reading intervention modified for autistic children aimed at increasing engagement. Children ages 3–6 years (n= 6) with language delays with or without co-occurring autism were tested using a multiple baseline across participants design. During baseline, the interventionist used dialogic reading and asked questions after every page. During intervention, the interventionist used RECALL, including a least to most prompting hierarchy with visual prompt cards. Children were more responsive and produced more meaningful correct responses during the intervention. Response type (linguistic vs. non-linguistic) also changed from baseline to intervention, though the pattern varied across participants. Intervention was not associated with increased responsiveness to adult bids for attention or pauses designed to encourage the child to initiate an interaction, though a few children showed changes in these responses over time."
Assessing key soft skills in organizational contexts: development and validation of the multiple soft skills assessment tool,25 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1405822/full,"Daiana Colledani, Egidio Robusto, Pasquale Anselmi","Introduction:Soft skills, also known as transversal skills, have gained significant attention in the organizational context due to their positive impact on various work-related outcomes. The present study aimed to develop and validate the Multiple Soft Skills Assessment Tool (MSSAT), a short self-report instrument that evaluates interpersonal skills (initiative-resourcefulness, assertiveness, conflict management), interpersonal communication skills, decision-making style (adaptive and maladaptive), and moral integrity."
The impact of job stress on job satisfaction and turnover intentions among bank employees during the COVID-19 pandemic,25 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1482968/full,"Mei-Hui Lin, Ya-Hui Yen, Tsai-Fu Chuang, Ping-Sen Yang, Ming-Da Chuang","Objective:The main objective of this study is to explore the relationships among job stress, job satisfaction, and turnover intentions among bank employees during the COVID-19 pandemic, with a focus on variations across different demographic characteristics."
Mapping perceived sentiments in university campuses with varied landscape metrics and climatic conditions,25 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1467966/full,"Qiyuan Yan, Yuxiang Sun","A sustainable university campus should accommodate students to experience positive emotions, which can be evoked by sustainable landscape with green and blue spaces (GBS). This effect is location-dependent because local vegetative type is climate-determinative, but evidence is not sufficient for sentiments of people experiencing campus landscapes. Forty-seven university campuses were selected along a latitudinal gradient in mainland China, and 100 subjects were chosen per campus (50 indoor and 50 outdoor). Photos of the subjects’ faces on Sina Weibo were collected. Facial expressions were assigned happy, sad, and neutral scores (n= 4,334). The average temperature (AveT) and blue space area (BlueA) showed negative relationships with latitude, thereby generating neutral emotion scores for subjects at indoor and outdoor locations. The ratio of green space area to host campus was the only landscape metric that depressed the presentation of happiness and enhanced sadness levels. Large water bodies should be built on campuses to induce calmness, and a high ratio of green spaces should be avoided. Mapping results show that campuses in eastern regions (Beijing and Liaoning) tend to elicit positive sentiments more frequently."
A Longitudinal Study on the Impact of Perceived Stress on Academic Engagement among Deaf College Students: The Moderating Effect of Positive Emotions,24 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1475388/full,"Tianlin CHEN, Kunjin Xu, Lan Luo, Yongfei Chen",Abstract not available.
Forming National Identity with Televised Cultural Rituals: A Critical Discourse Analysis of China's Ancient Rhyme and New Voice -Qingming Program,24 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1471431/full,"Duruo Li, Marwan H. Sallam, Zhiwu He",Abstract not available.
Influence of False Beliefs and Empathy on White Lies Among Children with Mild Intellectual Disabilities: Focusing on Trait and State Perspectives,24 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1502606/full,"Zhen Zeng, ming l. meng",Abstract not available.
Exploring Identity in Coaching -Insights into Coaches' Understanding and Approach,23 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1445643/full,Alex Lazarus,Abstract not available.
How Stress Influences Short Video Addiction in China: An Extended Compensatory Internet Use Model,23 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1470111/full,"Huiyuan Hu, Xuewei Chen",Abstract not available.
