Title,Year,Link,Abstract
,2010,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2010.00239/full,"Several psychological theories assume that there are two basic brain mechanisms that guide behavior: an avoidance or inhibition system, which is responsive to signals of punishment, and an approach or activation system, which is sensitive to signals of reward. Several self-report scales have been developed to assess the sensitivity to punishment and reward, and these instruments have been shown to be useful in research on personality, psychopathology, and underlying biological substrates. However, it is also true that in particular scales for measuring reward responsiveness suffer from various inadequacies. Therefore, a new RR scale was developed and subjected to an extensive psychometric evaluation. The results show that this scale measures a single factor, RR that is clearly independent of punishment sensitivity. Further, the data indicated that the internal consistency, convergent validity, discriminant validity, test–retest reliability, and predictive properties of the new scale were all adequate. It can be concluded that the RR scale is a psychometrically sound instrument that may be useful for researchers with interest in the personality construct of RR."
,2010,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2010.00228/full,"The aim of this study was to investigate the hypothesis that semantic information facilitates auditory and visual spatial learning and memory. An auditory spatial task was administered, whereby healthy participants were placed in the center of a semi-circle that contained an array of speakers where the locations of nameable and non-nameable sounds were learned. In the visual spatial task, locations of pictures of abstract art intermixed with nameable objects were learned by presenting these items in specific locations on a computer screen. Participants took part in both the auditory and visual spatial tasks, which were counterbalanced for order and were learned at the same rate. Results showed that learning and memory for the spatial locations of nameable sounds and pictures was significantly better than for non-nameable stimuli. Interestingly, there was a cross-modal learning effect such that the auditory task facilitated learning of the visual task and vice versa. In conclusion, our results support the hypotheses that the semantic representation of items, as well as the presentation of items in different modalities, facilitate spatial learning and memory."
,2010,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2010.00237/full,"Animals are notoriously impulsive in common laboratory experiments, preferring smaller, sooner rewards to larger, delayed rewards even when this reduces average reward rates. By contrast, the same animals often engage in natural behaviors that require extreme patience, such as food caching, stalking prey, and traveling long distances to high-quality food sites. One possible explanation for this discrepancy is that standard laboratory delay discounting tasks artificially inflate impulsivity by subverting animals’ common learning strategies. To test this idea, we examined choices made by rhesus macaques in two variants of a standard delay discounting task. In the conventional variant, post-reward delays were uncued and adjusted to render total trial length constant; in the second, all delays were cued explicitly. We found that measured discounting was significantly reduced in the cued task, with discount parameters well below those reported in studies using the standard uncued design. When monkeys had complete information, their decisions were more consistent with a strategy of reward rate maximization. These results indicate that monkeys, and perhaps other animals, are more patient than is normally assumed, and that laboratory measures of delay discounting may overstate impulsivity."
,2010,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2010.00233/full,"Music notations use both symbolic and spatial representation systems. Novice musicians do not have the training to associate symbolic information with musical identities, such as chords or rhythmic and melodic patterns. They provide an opportunity to explore the mechanisms underpinning multimodal learning when spatial encoding strategies of feature dimensions might be expected to dominate. In this study, we applied a range of transformations to short melodies and rhythms and asked novice musicians to identify them with or without the aid of notation. Performance using a purely spatial notation was contrasted with the more symbolic, traditional western notation over a series of weekly sessions. The results showed learning effects for both notation types, but performance improved more for graphic notation. This points to greater compatibility of auditory and visual neural codes for novice musicians when using spatial notation, suggesting that pitch and time may be spatially encoded in multimodal associative memory. The findings also point to new strategies for training novice musicians."
,2010,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2010.00236/full,"A small number of individuals have severe musical problems that have neuro-genetic underpinnings. This musical disorder is termed “congenital amusia,” an umbrella term for lifelong musical disabilities that cannot be attributed to deafness, lack of exposure, or brain damage after birth. Amusics seem to lack the ability to detect fine pitch differences in tone sequences. However, differences between statements and questions, which vary in final pitch, are well perceived by most congenital amusic individuals. We hypothesized that the origin of this apparent domain-specificity of the disorder lies in the range of pitch variations, which are very coarse in speech as compared to music. Here, we tested this hypothesis by using a continuum of gradually increasing final pitch in both speech and tone sequences. To this aim, nine amusic cases and nine matched controls were presented with statements and questions that varied on a pitch continuum from falling to rising in steps. The sentences were either naturally spoken or were tone sequence versions of these. The task was to categorize the sentences as statements or questions and the tone sequences as falling or rising. In each case, the observation of an S-shaped identification function indicates that amusics can accurately identify unambiguous examples of statements and questions but have problems with fine variations between these endpoints. Thus, the results indicate that a deficient pitch perception might compromise music, not because it is specialized for that domain but because music requirements are more fine-grained."
,2010,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2010.00224/full,"The aim of this study was to explore the role of attention in pulse and meter perception using complex rhythms. We used a selective attention paradigm in which participants attended to either a complex auditory rhythm or a visually presented word list. Performance on a reproduction task was used to gauge whether participants were attending to the appropriate stimulus. We hypothesized that attention to complex rhythms – which contain no energy at the pulse frequency – would lead to activations in motor areas involved in pulse perception. Moreover, because multiple repetitions of a complex rhythm are needed to perceive a pulse, activations in pulse-related areas would be seen only after sufficient time had elapsed for pulse perception to develop. Selective attention was also expected to modulate activity in sensory areas specific to the modality. We found that selective attention to rhythms led to increased BOLD responses in basal ganglia, and basal ganglia activity was observed only after the rhythms had cycled enough times for a stable pulse percept to develop. These observations suggest that attention is needed to recruit motor activations associated with the perception of pulse in complex rhythms. Moreover, attention to the auditory stimulus enhanced activity in an attentional sensory network including primary auditory cortex, insula, anterior cingulate, and prefrontal cortex, and suppressed activity in sensory areas associated with attending to the visual stimulus."
,2010,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2010.00232/full,"The speech signal consists of a continuous stream of consonants and vowels, which must be de- and encoded in human auditory cortex to ensure the robust recognition and categorization of speech sounds. We used small-voxel functional magnetic resonance imaging to study information encoded in local brain activation patterns elicited by consonant-vowel syllables, and by a control set of noise bursts. First, activation of anterior–lateral superior temporal cortex was seen when controlling for unspecific acoustic processing . Second, a classifier algorithm, which was trained and tested iteratively on data from all subjects to discriminate local brain activation patterns, yielded separations of cortical patches discriminative of vowel category versus patches discriminative of stop-consonant category across the entire superior temporal cortex, yet with regional differences in average classification accuracy. Overlap was surprisingly sparse. Third, lending further plausibility to the results, classification of speech–noise differences was generally superior to speech–speech classifications, with the no\ exception of a left anterior region, where speech–speech classification accuracies were significantly better. These data demonstrate that acoustic–phonetic features are encoded in complex yet sparsely overlapping local patterns of neural activity distributed hierarchically across different regions of the auditory cortex. The redundancy apparent in these multiple patterns may partly explain the robustness of phonemic representations."
,2010,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2010.00230/full,"The paralysis-by-analysis phenomenon, i.e., attending to the execution of one's movement impairs performance, has gathered a lot of attention over recent years . Explanations of this phenomenon, e.g., the hypotheses of constrained action or of step-by-step execution , however, do not refer to the level of underlying mechanisms on the level of sensorimotor control. For this purpose, a “nodal-point hypothesis” is presented here with the core assumption that skilled motor behavior is internally based on sensorimotor chains of nodal points, that attending to intermediate nodal points leads to a muscular re-freezing of the motor system at exactly and exclusively these points in time, and that this re-freezing is accompanied by the disruption of compensatory processes, resulting in an overall decrease of motor performance. Two experiments, on lever sequencing and basketball free throws, respectively, are reported that successfully tested these time-referenced predictions, i.e., showing that muscular activity is selectively increased and compensatory variability selectively decreased at movement-related nodal points if these points are in the focus of attention."
,2010,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2010.00231/full,"After learning a particular target stimulus, such as a location, humans’ judgments of whether a particular stimulus is the target or not is affected by the range of stimuli presented on tests. In such frequently found range effects, the peak of “yes” responses shifts toward the middle of the range of tested stimuli. Humans also code both the metric value and categorical information regarding a target stimulus, and use both forms of codes, such that responses are biased toward the category middle . Categorical codes should also affect range effects, with a test range crossing category boundaries producing less range effect than a test range within a category. We examined a set of past results presented in a review of range effects in humans for functional explanations in light of categorical coding, and found that all results could be reasonably explained. Additional experiments comparing range effects across vs. within a category found limited supporting evidence, perhaps because the range effects were weak. The adaptive functions of using categorical coding accounts for many seemingly peculiar biases in human cognition."
,2010,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2010.00218/full,"Previous evidence has shown that word frequencies calculated from corpora based on film and television subtitles can readily account for reading performance, since the language used in subtitles greatly approximates everyday language. The present study examines this issue in a society with increased exposure to subtitle reading. We compiled SUBTLEX-GR, a subtitled-based corpus consisting of more than million Modern Greek words, and tested to what extent subtitle-based frequency estimates and those taken from a written corpus of Modern Greek account for the lexical decision performance of young Greek adults who are exposed to subtitle reading on a daily basis. Results showed that SUBTLEX-GR frequency estimates effectively accounted for participants’ reading performance in two different visual word recognition experiments. More importantly, different analyses showed that frequencies estimated from a subtitle corpus explained the obtained results significantly better than traditional frequencies derived from written corpora."
